img,output,flag,username,timestamp
c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\img\tmp41vp4666.jpg,c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\output\tmp4tkgt4p1.json,,,2023-05-12 20:41:46.294439
c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\img\tmp7azlyinu.jpg,c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\output\tmphx1us4b_.json,,,2023-05-12 20:41:51.166849
c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\img\tmpaaa094pb.jpg,c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\output\tmp5uol4wrw.json,,,2023-05-12 20:41:54.345564
c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\img\tmpjne3fzc5,c:\Users\HP\Downloads\Gradip-FlowerClassification-WebApp-main\Gradip-FlowerClassification-WebApp-main\flagged\output\tmp9ojfm7b0.json,,,2023-05-12 20:46:07.722327
